Background color,"10,10,10,255"
Ring color,"150,150,150,150"
Ring thickness,20
ILS color,"255,100,100,150"
ILS thickness,25
Airport color,"200,200,50,200"
Airport thickness,30
Airport runway color,"255,0,0,255"
Airport runway thickness,60
Airplane size,35
Airplane color arrive,"255,255,255,255"
Airplane color departure,"255,255,255,255"
Airplane color callsign arrive,"255,255,0,255"
Airplane color callsign departure,"255,255,0,255"
Airplane color info arrive,"255,255,0,255"
Airplane color info departure,"200,200,200,200"
Airplane color out of control,"255,255,255,100"
Airplane selected color arrive,"255,255,55,255"
Airplane selected color departure,"255,255,55,255"
Airplane selected color callsign arrive,"255,255,0,255"
Airplane selected color callsign departure,"255,255,0,255"
Airplane selected color info arrive,"255,255,0,255"
Airplane selected color info departure,"200,200,200,200"
Airplane marker type,Old style/dotted
Area,"40.77238, -73.87608
40.77319, -73.87632
40.77354, -73.87438
40.77283, -73.87418
40.77299, -73.87338
40.77300, -73.87308
40.77398, -73.87316
40.77406, -73.87310
40.77402, -73.87284
40.77444, -73.87251
40.77521, -73.87232
40.77554, -73.87402
40.77584, -73.87377
40.77561, -73.87263
40.77570, -73.87208
40.77599, -73.87185
40.77583, -73.87147
40.77490, -73.87225
40.77403, -73.87247
40.77395, -73.87211
40.77383, -73.87183
40.77373, -73.87160
40.77317, -73.87085
40.77375, -73.86995
40.77473, -73.86914
40.77457, -73.86881
40.77419, -73.86911
40.77376, -73.86896
40.77311, -73.86804
40.77282, -73.86825
40.77380, -73.86965
40.77338, -73.87031
40.77301, -73.87062
40.77200, -73.86910
40.77186, -73.86926
40.77221, -73.86997
40.77245, -73.87063
40.77256, -73.87099
40.77267, -73.87150
40.77274, -73.87203
40.77278, -73.87265
40.77278, -73.87306
40.77284, -73.87307
Color=80,80,80,255"
Area,"40.77372, -73.87319
40.77372, -73.87336
40.77355, -73.87359
40.77357, -73.87367
40.77355, -73.87374
40.77350, -73.87380
40.77339, -73.87379
40.77331, -73.87378
40.77328, -73.87381
40.77323, -73.87372
40.77362, -73.87322
40.77364, -73.87325
40.77367, -73.87320
Color=200,200,200,255"
Area,"40.77168, -73.86649
40.77290, -73.86496
40.77274, -73.86471
40.77202, -73.86558
40.77150, -73.86549
40.77097, -73.86471
40.77074, -73.86496
40.77045, -73.86454
40.77058, -73.86412
40.77165, -73.86284
40.77147, -73.86258
40.77040, -73.86387
40.77009, -73.86401
40.76992, -73.86377
40.76940, -73.86384
40.76924, -73.86360
40.76927, -73.86358
40.76831, -73.86220
40.76830, -73.86226
40.76794, -73.86174
40.76756, -73.86005
40.76759, -73.85982
40.76924, -73.85784
40.76911, -73.85782
40.76746, -73.85970
40.76744, -73.85983
40.76787, -73.86180
40.76801, -73.86200
40.76790, -73.86279
40.76831, -73.86220
40.76877, -73.86412
40.76993, -73.86396
40.77165, -73.86648
Color=200,200,200,255"
Area,"40.76914, -73.86284
40.76957, -73.86232
40.76943, -73.86210
40.77022, -73.86120
40.76022, -73.86106
40.77007, -73.86083
40.76995, -73.86082
40.76918, -73.86175
40.76912, -73.86165
40.76891, -73.86163
40.76840, -73.86090
40.76810, -73.86124
Color=200,200,200,255"
Area,"40.77372, -73.88371
40.77359, -73.88493
40.77333, -73.88518
40.77346, -73.88541
40.77365, -73.88523
40.77378, -73.88546
40.77378, -73.88552
40.77375, -73.88548
40.77364, -73.88558
40.77359, -73.88555
40.77351, -73.88554
40.77342, -73.88559
40.77337, -73.88568
40.77333, -73.88567
40.77331, -73.88584
40.77335, -73.88585
40.77339, -73.88586
40.77343, -73.88596
40.77351, -73.88602
40.77360, -73.88603
40.77367, -73.88618
40.77379, -73.88606
40.77372, -73.88593
40.77374, -73.88583
40.77374, -73.88573
40.77384, -73.88563
40.77381, -73.88558
40.77383, -73.88555
40.77387, -73.88511
40.77383, -73.88371
40.77389, -73.88428
40.77394, -73.88375
Color=200,200,200,255
Style=dotted"
